編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2016/11/1 下午 12:41:00,121.59,23.77,37,3.9,花蓮縣政府南方  25.1  公里 (位於花蓮縣近海)
105099   ,2016/10/29 下午 07:49:00,121.63,24.18,30.1,4.3,花蓮縣政府北方  21.4  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/29 下午 02:44:00,121.56,24.73,29.6,3.6,宜蘭縣政府西方  20.2  公里 (位於新北市烏來區)
小區域,2016/10/29 下午 02:08:00,121.73,24.39,18.6,3.6,宜蘭縣政府南方  38.2  公里 (位於宜蘭縣南澳鄉)
小區域,2016/10/26 下午 03:07:00,120.63,23.54,15.9,3.6,嘉義市政府東偏北方  19.2  公里 (位於嘉義縣梅山鄉)
小區域,2016/10/26 上午 02:14:00,121.48,23.96,19.1,3.3,花蓮縣政府西偏南方  14.3  公里 (位於花蓮縣秀林鄉)
105098   ,2016/10/25 下午 12:45:00,121.41,22.61,19.4,5.2,臺東縣政府東偏南方  30.6  公里 (位於臺灣東部海域)
小區域,2016/10/25 上午 04:45:00,122.13,24.06,31.6,4.2,花蓮縣政府東方  52.4  公里 (位於臺灣東部海域)
小區域,2016/10/24 下午 01:26:00,121.64,24.13,9.4,3.7,花蓮縣政府北方  15.9  公里 (位於花蓮縣新城鄉)
小區域,2016/10/24 上午 05:32:00,121.79,24.14,34.1,4,花蓮縣政府東北方  24.1  公里 (位於臺灣東部海域)
小區域,2016/10/23 上午 01:10:00,121.77,24.41,5,3.2,宜蘭縣政府南方  36.0  公里 (位於宜蘭縣南澳鄉)
小區域,2016/10/22 上午 07:17:00,121.5,23.98,20.6,3.4,花蓮縣政府西方  12.8  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/22 上午 02:13:00,121.48,23.96,20.7,3.9,花蓮縣政府西方  14.7  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/20 下午 11:40:00,121.66,24.15,11.2,3.9,花蓮縣政府北偏東方  18.0  公里 (位於花蓮縣近海)
小區域,2016/10/20 上午 06:31:00,121.62,24.14,12.4,3.5,花蓮縣政府北方  16.2  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/19 上午 08:29:00,121.66,24.13,17.3,3.7,花蓮縣政府北偏東方  15.6  公里 (位於花蓮縣近海)
小區域,2016/10/17 下午 05:24:00,121.35,23.16,20.6,3.9,臺東縣政府北偏東方  49.5  公里 (位於臺東縣成功鎮)
小區域,2016/10/17 下午 02:31:00,120.62,22.99,20.8,3.9,屏東縣政府北偏東方  36.8  公里 (位於高雄市六龜區)
小區域,2016/10/16 下午 09:25:00,121.35,23.18,22.8,4,臺東縣政府北偏東方  51.5  公里 (位於臺東縣成功鎮)
小區域,2016/10/15 上午 01:49:00,121.74,24.4,12.9,3.4,宜蘭縣政府南方  36.4  公里 (位於宜蘭縣南澳鄉)
小區域,2016/10/14 上午 04:45:00,121.74,23.83,53.5,4.5,花蓮縣政府東南方  21.2  公里 (位於臺灣東部海域)
小區域,2016/10/11 上午 04:18:00,121.53,23.07,15.4,4.4,臺東縣政府東北方  52.6  公里 (位於臺灣東部海域)
小區域,2016/10/10 下午 07:12:00,121.44,23.93,18.3,3.5,花蓮縣政府西偏南方  19.3  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/10 下午 02:28:00,120.71,23.58,6.3,2.9,雲林縣政府東南方  22.8  公里 (位於雲林縣古坑鄉)
小區域,2016/10/9 下午 10:32:00,121.8,24.48,21.5,3.5,宜蘭縣政府南方  27.6  公里 (位於宜蘭縣南澳鄉)
小區域,2016/10/9 下午 03:42:00,121.62,24.62,53,4.1,宜蘭縣政府西南方  19.0  公里 (位於宜蘭縣大同鄉)
小區域,2016/10/7 下午 03:55:00,121.85,24.81,93.9,4.3,宜蘭縣政府東北方  12.4  公里 (位於宜蘭縣近海)
105097   ,2016/10/6 下午 11:51:00,121.4,22.61,20,6,臺東縣政府東偏南方  30.8  公里 (位於臺灣東部海域)
105096   ,2016/10/4 下午 02:29:00,121.4,22.18,19.6,4.8,臺東縣政府南偏東方  68.5  公里 (位於臺灣東部海域)
小區域,2016/9/30 下午 07:50:00,121.53,23.19,36.6,3.4,臺東縣政府東北方  61.9  公里 (位於臺灣東部海域)
